Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract
Preventing diabetes with digital health and coaching for translation and scalability (PREDICTS): A type 1 hybrid effectiveness-implementation trial protocol,"Almeida FA, Michaud TL, Wilson KE, Schwab RJ, Goessl C, Porter GC, Brito FA, Evans G, Dressler EV, Boggs AE, Katula JA, Sweet CC, Estabrooks PA.",Contemp Clin Trials. 2020 Jan;88:105877. doi: 10.1016/j.cct.2019.105877. Epub 2019 Nov 1.,Almeida FA,Contemp Clin Trials,2020,2019/11/05,,,10.1016/j.cct.2019.105877,"BACKGROUND: Diabetes prevention remains a top public health priority; digital approaches are potential solutions to existing scalability and accessibility challenges. There remains a gap in our understanding of the relationship between effectiveness, costs, and potential for sustained implementation of digital diabetes prevention strategies within typical healthcare settings. PURPOSE: To describe the methods and design of a type 1 hybrid effectiveness-implementation trial of a digital diabetes prevention program (DPP) using the iPARIHS and RE-AIM frameworks. METHODS: The trial will contrast the effects of two DPP interventions: (1) small group, in-person class, and (2) a digital DPP consisting of small group support, personalized health coaching, digital tracking tools, and weekly behavior change curriculum. Each intervention includes personal action planning with a focus on key elements of the lifestyle intervention from the CDC National DPP. Adults at risk for diabetes (BMI >/=25 and 5.7% </= HbA1c </= 6.4) will be randomly assigned to either the intervention group (n = 241) or the small group (n = 241). Assessment of primary (HbA1c) and secondary (weight loss, costs, cardiovascular risk factors) outcomes will occur at baseline, 4, and 12 months. Additionally, the trial will explore the potential for future adoption, implementation, and sustainability of the digitally-based intervention within a regional healthcare system based on key informant interviews and assessments of organizational administrators and primary care physicians. CONCLUSION: This trial of a digital DPP will allow the research team to determine the relationships between reach, effectiveness, implementation, and costs."
"Cluster randomized trial of a mHealth intervention ""ImTeCHO"" to improve delivery of proven maternal, neonatal, and child care interventions through community-based Accredited Social Health Activists (ASHAs) by enhancing their motivation and strengthening supervision in tribal areas of Gujarat, India: study protocol for a randomized controlled trial","Modi D, Desai S, Dave K, Shah S, Desai G, Dholakia N, Gopalan R, Shah P.",Trials. 2017 Jun 9;18(1):270. doi: 10.1186/s13063-017-1998-0.,Modi D,Trials,2017,2017/06/11,PMC5466719,,10.1186/s13063-017-1998-0,"BACKGROUND: To facilitate the delivery of proven maternal, neonatal, and child health (MNCH) services, a new cadre of village-based frontline workers, called the Accredited Social Health Activists (ASHAs), was created in 2005 under the aegis of the National Rural Health Mission in India. Evaluations have noted that coverage of selected MNCH services to be delivered by the ASHAs is low. Reasons for low coverage are inadequate supervision and support to ASHAs apart from insufficient skills, poor quality of training, and complexity of tasks to be performed. The proposed study aims to implement and evaluate an innovative intervention based on mobile phone technology (mHealth) to improve the performance of ASHAs through better supervision and support in predominantly tribal and rural communities of Gujarat, India. METHODS/DESIGN: This is a two-arm, stratified, cluster randomized trial of 36 months in which the units of randomization will be Primary Health Centers (PHCs). There are 11 PHCs in each arm. The intervention is a newly built mobile phone application used in the public health system and evaluated in three ways: (1) mobile phone as a job aid to ASHAs to increase coverage of MNCH services; (2) mobile phone as a job aid to ASHAs and Auxiliary Nurse Midwives (ANMs) to increase coverage of care among complicated cases by facilitating referrals, if indicated and home-based care; (3) web interface as a job aid for medical officers and PHC staff to improve supervision and support to the ASHA program. Participants of the study are pregnant women, mothers, infants, ASHAs, and PHC staff. Primary outcome measures are a composite index made of critical, proven MNCH services and the proportion of neonates who were visited by ASHAs at home within the first week of birth. Secondary outcomes include coverage of selected MNCH services and care sought by complicated cases. Outcomes will be measured by conducting household surveys at baseline and post-intervention which will be compared with usual practice in the control area, where the current level of services provided by the government will continue. The primary analysis will be intention to treat. DISCUSSION: This study will help answer some critical questions about the effectiveness and feasibility of implementing an mHealth solution in an area of MNCH services. TRIAL REGISTRATION: Clinical Trial Registry of India, CTRI/2015/06/005847 . Registered on 3 June 2015."
Efficacy of an Internet-based intervention for job stress and burnout among medical professionals: study protocol for a randomized controlled trial,"Smoktunowicz E, Lesnierowska M, Cieslak R, Carlbring P, Andersson G.",Trials. 2019 Jun 10;20(1):338. doi: 10.1186/s13063-019-3401-9.,Smoktunowicz E,Trials,2019,2019/06/12,PMC6558742,,10.1186/s13063-019-3401-9,"BACKGROUND: Medical professionals are at high risk of job stress and burnout. Research shows that work-related stress can be reduced through enhancing psychological resources, in particular, self-efficacy and perceived social support. These psychological resources can operate either individually or sequentially: in line with the cultivation hypothesis, self-efficacy precedes and cultivates perceived social support, whereas according to the enabling hypothesis it is perceived social support that comes first and enables self-efficacy. Based on this theoretical framework we developed an internet-based intervention, Med-Stress, dedicated to healthcare providers and aimed at reducing job stress and burnout. Med-Stress contains two modules that enhance self-efficacy and perceived social support, which are tested in four variants reflected in four study conditions. We expect that sequential enhancement of resources: self-efficacy and social support or social support and self-efficacy will yield larger posttest results than individual enhancement. METHODS: In this four-arm randomized controlled trial we will test four variants of the Med-Stress intervention. The trial is open for professionally active medical providers aged at least 18 years (N = 1200) with access to an Internet-connected device. We will compare the effects of two experimental conditions reflecting cultivation and enabling effects of self-efficacy and perceived social support (sequential enhancement of resources), and two active controls strengthening self-efficacy or perceived social support. Job stress and job burnout will be the primary outcomes, whereas depression, job-related traumatic stress, and work engagement will be secondary ones. Additionally, we will measure perceived social support, self-efficacy to manage job stress and burnout, and the ability to obtain social support, exposure to traumatic events, and users' expectancy and credibility of the intervention. All assessments will be applied before the intervention, at posttest (at 3 or 6 weeks depending on the study condition), and at 6-month and 12-month follow up. In the case of experimental groups, additional measurements will be taken after enhancing each resource. DISCUSSION: Resource-based interventions are relatively context-free and could potentially benefit medical professionals across the field. If Med-Stress is successful, its most effective variant could be implemented in the healthcare system as a standalone, supportive tool for employees. TRIAL REGISTRATION: ClinicalTrials.gov, NCT03475290 Registered on 23 March 2018."
Rapid systematic review on developing web-based interventions to support people affected by cancer,"Cooke S, Nelson D, Green H, McPeake K, Gussy M, Kane R.",BMJ Open. 2022 Sep 6;12(9):e062026. doi: 10.1136/bmjopen-2022-062026.,Cooke S,BMJ Open,2022,2023/01/23,PMC9454073,,10.1136/bmjopen-2022-062026,"OBJECTIVE: To systematically identify and explore the existing evidence to inform the development of web-based interventions to support people affected by cancer (PABC). DESIGN: A rapid review design was employed in accordance with the guidance produced by the Cochrane Rapid Reviews Methods Group and reported using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses checklist. A rapid review was chosen due to the need for a timely evidence synthesis to underpin the subsequent development of a digital resource (Shared Lives: Cancer) as part of an ongoing funded project. METHODS AND OUTCOMES: Keyword searches were performed in MEDLINE to identify peer-reviewed literature that reported primary data on the development of web-based interventions designed to support PABC. The review included peer-reviewed studies published in English with no limits set on publication date or geography. Key outcomes included any primary data that reported on the design, usability, feasibility, acceptability, functionality and user experience of web-based resource development. RESULTS: Ten studies were identified that met the pre-specified eligibility criteria. All studies employed an iterative, co-design approach underpinned by either quantitative, qualitative or mixed methods. The findings were grouped into the following overarching themes: (1) exploring current evidence, guidelines and theory, (2) identifying user needs and preferences and (3) evaluating the usability, feasibility and acceptability of resources. Resources should be informed by the experiences of a wide range of end-users taking into consideration current guidelines and theory early in the design process. Resource design and content should be developed around the user's needs and preferences and evaluated through usability, feasibility or acceptability testing using quantitative, qualitative or mixed methods. CONCLUSION: The findings of this rapid review provide novel methodological insights into the approaches used to design web-based interventions to support PABC. Our findings have the potential to inform and guide researchers when considering the development of future digital health resources. TRIAL REGISTRATION NUMBER: The review protocol was registered on the Open Science Framework (https://osf.io/ucvsz)."
App-Delivered Self-Management Intervention Trial selfBACK for People With Low Back Pain: Protocol for Implementation and Process Evaluation,"Rasmussen CDN, Svendsen MJ, Wood K, Nicholl BI, Mair FS, Sandal LF, Mork PJ, Søgaard K, Bach K, Stochkendahl MJ.",JMIR Res Protoc. 2020 Oct 29;9(10):e20308. doi: 10.2196/20308.,Rasmussen CDN,JMIR Res Protoc,2020,2020/10/29,PMC7661240,,10.2196/20308,"BACKGROUND: Implementation and process evaluation is vital for understanding how interventions function in different settings, including if and why interventions have different effects or do not work at all. OBJECTIVE: This paper presents the protocol for an implementation and process evaluation embedded in a multicenter randomized controlled trial conducted in Denmark and Norway (the selfBACK project). selfBACK is a data-driven decision support system that provides participants with weekly self-management plans for low back pain. These plans are delivered through a smartphone app and tailored to individual participants by using case-based reasoning methodology. In the trial, we compare selfBACK in addition to usual care with usual care alone. METHODS: The aim of this study is to conduct a convergent mixed-methods implementation and process evaluation of the selfBACK app by following the reach, effectiveness, adoption, implementation, and maintenance framework. We will evaluate the process of implementing selfBACK and investigate how participants use the intervention in daily life. The evaluation will also cover the reach of the intervention, health care provider willingness to adopt it, and participant satisfaction with the intervention. We will gather quantitative measures by questionnaires and measures of data analytics on app use and perform a qualitative exploration of the implementation using semistructured interviews theoretically informed by normalization process theory. Data collection will be conducted between March 2019 and October 2020. RESULTS: The trial opened for recruitment in February 2019. This mixed-methods implementation and evaluation study is embedded in the randomized controlled trial and will be collecting data from March 2019 to October 2020; dissemination of trial results is planned thereafter. The results from the process evaluation are expected 2021-2022. CONCLUSIONS: This study will provide a detailed understanding of how self-management of low back pain can be improved and how a digital health intervention can be used as an add-on to usual care to support patients to self-manage their low back pain. We will provide knowledge that can be used to explore the possibilities of extending the generic components of the selfBACK system and key drivers that could be of use in other conditions and diseases where self-management is an essential prevention or treatment strategy. TRIAL REGISTRATION: ClinicalTrials.gov NCT03798288; https://www.clinicaltrials.gov/ct2/show/NCT03798288. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/20308."
The Food4toddlers study - study protocol for a web-based intervention to promote healthy diets for toddlers: a randomized controlled trial,"Røed M, Hillesund ER, Vik FN, Van Lippevelde W, Øverby NC.",BMC Public Health. 2019 May 14;19(1):563. doi: 10.1186/s12889-019-6915-x.,Røed M,BMC Public Health,2019,2019/05/16,PMC6518752,,10.1186/s12889-019-6915-x,"BACKGROUND: Eating habits are established during childhood and track into adolescence and later in life. Given that these habits have a large public health impact and influence the increasing rates of childhood obesity worldwide, there is a need for effective, evidence-based prevention trials promoting healthy eating habits in the first 2 years of life. The aim of this study was to develop and evaluate the effect of an eHealth intervention called Food4toddlers, aiming to promote healthy dietary habits in toddlers by targeting parents' awareness of their child's food environment (i.e., how food is provided or presented) and eating environment (e.g., feeding practices and social interaction). This paper describes the rationale, development, and evaluation design of this project. METHODS/DESIGN: We developed a 6-month eHealth intervention, with the extensive user involvement of health care nurses and parents of toddlers. This intervention is in line with the social cognitive theory, targeting the interwoven relationship between the person, behavior, and environment, with an emphasis on environmental factors. The intervention website includes recipes, information, activities, and collaboration opportunities. The Food4toddlers website can be used as a mobile application. To evaluate the intervention, a two-armed pre-post-follow-up randomized controlled trial is presently being conducted in Norway. Parents of toddlers (n = 404) were recruited via social media (Facebook) and 298 provided baseline data of their toddlers at age 12 months. After baseline measurements, participants were randomly allocated to an intervention group or control group. Primary outcomes are the child's diet quality and food variety. All participants will be followed up at age 18 months, 2 years, and 4 years. DISCUSSION: The results of this trial will provide evidence to increase knowledge about the effectiveness of an eHealth intervention targeting parents and their toddler's dietary habits. TRIAL REGISTRATION: ISRCTN92980420 . Registered 13 September 2017. Retrospectively registered."
Ethical issues in m-Health applications in community health work in India - a scoping review,"Gopichandran V, Subramaniam S, Thiagesan R.",Indian J Med Ethics. 2023 Oct-Dec;VIII(4):266-273. doi: 10.20529/IJME.2023.037. Epub 2023 Jun 9.,Gopichandran V,Indian J Med Ethics,2023,2023/06/13,,,10.20529/IJME.2023.037,"BACKGROUND: Mobile phone-based interventions are being increasingly used in community health work in India. The extensive use of mobile phones in community health work is associated with several ethical issues. This review was conducted to identify the ethical issues related to mHealth applications in community health work in India. METHODS: We performed a scoping review of literature in PubMed and Google Scholar using a search strategy that we developed. We included studies that mentioned ethical issues in mHealth applications that involved community health work and community health workers in India, published in peer reviewed English language journals between 2011 and 2021. All three authors screened the articles, shortlisted them, read them, and extracted the data. We then synthesised the data into a conceptual framework. RESULTS: Our search yielded 1125 papers, from which we screened and shortlisted 121, after reading which we included 58 in the final scoping review. The main ethical issues identified from review of these papers included benefits of mHealth applications such as improved quality of care, increased awareness about health and illness, increased accountability of the health system, accurate data capture and timely data driven decision making. The risks of mHealth applications identified were impersonal communication of community health worker, increased workload, potential breach in privacy, confidentiality, and stigmatisation. The inherent inequities in access to mobile phones in the community due to gender and class led to exclusion of women and the poor from the benefits of mHealth interventions. Though mHealth interventions increased access to healthcare by taking healthcare to remote areas through tele-health, unless we contextualise mHealth to local rural settings through community engagement, it is likely to remain inequitable. CONCLUSION: This scoping review revealed that there is a lack of well conducted empirical studies which explore the ethical issues related to mHealth applications in community health work."
"mHealth Strategies Related to HIV Postexposure Prophylaxis Knowledge and Access: Systematic Literature Review, Technology Prospecting of Patent Databases, and Systematic Search on App Stores","Queiroz AAFLN, Mendes IAC, de Godoy S, Velez Lapão L, Dias S.",JMIR Mhealth Uhealth. 2021 Feb 16;9(2):e23912. doi: 10.2196/23912.,Queiroz AAFLN,JMIR Mhealth Uhealth,2021,2021/02/16,PMC7925142,,10.2196/23912,"BACKGROUND: Globally, the number of HIV cases continue to increase, despite the development of multiple prevention strategies. New cases of HIV have been reported disproportionately more in men who have sex with men and other vulnerable populations. Issues such as internalized and structural homophobia prevent these men from accessing prevention strategies such as postexposure prophylaxis (PEP). Mobile health (mHealth) interventions are known to be one of the newest and preferred options to enhance PEP knowledge and access. OBJECTIVE: The aim of this study was to identify and analyze the mobile apps addressing PEP for HIV infections. METHODS: We conducted a descriptive exploratory study in 3 sequential phases: systematic literature review, patent analysis, and systematic search of app stores. For the systematic review, we followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines adapted for an integrative review in the databases of PubMed, Web of Knowledge, Scopus, Cochrane, Embase, Science Direct, Eric, Treasure, and CINAHL. The patent analysis was performed by exploring the databases of the Brazilian National Institute of Industrial Property, the United States Patent and Trademark Office, and the European Patent Office. For the systematic search, we analyzed mHealth apps related to HIV in 2 major app libraries, that is, Google Play Store and App Store. The apps were evaluated by name, characteristics, functions, and availability in iPhone operating system/Android phones. RESULTS: We analyzed 22 studies, of which 2 were selected for the final stage. Both studies present the use of apps as mHealth strategies aimed at improving the sexual health of men who have sex with men, and they were classified as decision support systems. The search in the patent databases showed only 1 result, which was not related to the topic since it was a drug intervention. In the app libraries, 25 apps were found and analyzed, with 15 (60%) apps available for Android systems but only 3 (12%) addressing PEP. In general, the apps inform about HIV and HIV prevention and treatment, with the focus users being health care providers, people with HIV, or the general population, but they have only limited features available, that is, mainly text, images, and videos. The 3 apps exclusively focusing on PEP were created by researchers from Brazilian universities. CONCLUSIONS: Our review found no connection between the scientific studies, registered patents, and the available apps related to PEP; this finding indicates that these available apps do not have a theoretical or a methodological background in their creation. Thus, since the scientific knowledge on HIV is not translated into technological products, preventing the emergence of new infections, especially in the more vulnerable groups, is difficult. In the future, researchers and the community must work in synergy to create more mHealth tools aimed at PEP."
Effect of mobile applications on blood pressure control and their development in China: a systematic review and meta-analysis,"Han H, Guo W, Lu Y, Wang M.",Public Health. 2020 Aug;185:356-363. doi: 10.1016/j.puhe.2020.05.024. Epub 2020 Jul 29.,Han H,Public Health,2020,2020/08/02,,,10.1016/j.puhe.2020.05.024,"OBJECTIVES: Mobile applications (apps) facilitate aspects of people's lives and are useful auxiliary tools for controlling risk factors for chronic diseases. This meta-analysis and systematic review aimed to explore the effect of app-assisted interventions on blood pressure (BP) control in Chinese adults and summarize the common functions of these apps. STUDY DESIGN: This is a systematic review and meta-analysis. METHODS: The search was conducted in four databases (PubMed, Embase, China National Knowledge Infrastructure database, and China Biology Medicine database). The identified articles were reviewed independently by two researchers. A random-effects model was used to compute the effect size. Studies were assessed for risk of bias and the transparency and quality of the apps. RESULTS: Eighteen studies (n = 2965) were included in the final analysis. App-based interventions achieved additional decreases in BP levels (systolic BP [SBP]: -8.12 mmHg, 95% confidence interval [CI]: -11.47 to -4.77 mmHg, P < 0.001; diastolic BP [DBP]: -6.67 mmHg, 95% CI: -8.92 to -4.41 mmHg, P < 0.001). However, the results showed considerable heterogeneity (SBP: I(2) = 97%, P < 0.001; DBP: I(2) = 96%, P < 0.001). Four studies reported the BP control rate. The pooled results demonstrated a better control rate achieved via app-based interventions (risk ratio: 1.33; 95% CI: 1.18 to 1.49, P < 0.001) without heterogeneity (I(2) = 0%). The transparency and replicability assessment revealed unsatisfying results, and only three studies reported more than half of the 16 items in the mHealth checklist. Few studies described the replicability, data security, and infrastructure of the apps used. We identified 16 app functions, with the top three functions being doctor-patient communication (16/16), health education (15/16), and personalized guidance (12/16). CONCLUSIONS: We showed app-based interventions had a positive effect on BP management in Chinese adults. However, there was high heterogeneity among the included studies, which merits further exploration when more standardized research has been conducted. The functions of the apps varied widely, and further development of apps for BP management should abide by appropriate reporting guidelines."
A trial protocol for the effectiveness of digital interventions for preventing depression in adolescents: The Future Proofing Study,"Werner-Seidler A, Huckvale K, Larsen ME, Calear AL, Maston K, Johnston L, Torok M, O'Dea B, Batterham PJ, Schweizer S, Skinner SR, Steinbeck K, Ratcliffe J, Oei JL, Patton G, Wong I, Beames J, Wong QJJ, Lingam R, Boydell K, Salmon AM, Cockayne N, Mackinnon A, Christensen H.",Trials. 2020 Jan 2;21(1):2. doi: 10.1186/s13063-019-3901-7.,Werner-Seidler A,Trials,2020,2020/01/04,PMC6941300,,10.1186/s13063-019-3901-7,"BACKGROUND: Depression frequently first emerges during adolescence, and one in five young people will experience an episode of depression by the age of 18 years. Despite advances in treatment, there has been limited progress in addressing the burden at a population level. Accordingly, there has been growing interest in prevention approaches as an additional pathway to address depression. Depression can be prevented using evidence-based psychological programmes. However, barriers to implementing and accessing these programmes remain, typically reflecting a requirement for delivery by clinical experts and high associated delivery costs. Digital technologies, specifically smartphones, are now considered a key strategy to overcome the barriers inhibiting access to mental health programmes. The Future Proofing Study is a large-scale school-based trial investigating whether cognitive behaviour therapies (CBT) delivered by smartphone application can prevent depression. METHODS: A randomised controlled trial targeting up to 10,000 Year 8 Australian secondary school students will be conducted. In Stage I, schools will be randomised at the cluster level either to receive the CBT intervention app (SPARX) or to a non-active control group comparator. The primary outcome will be symptoms of depression, and secondary outcomes include psychological distress, anxiety and insomnia. At the 12-month follow-up, participants in the intervention arm with elevated depressive symptoms will participate in an individual-level randomised controlled trial (Stage II) and be randomised to receive a second CBT app which targets sleep difficulties (Sleep Ninja) or a control condition. Assessments will occur post intervention (both trial stages) and at 6, 12, 24, 36, 48 and 60 months post baseline. Primary analyses will use an intention-to-treat approach and compare changes in symptoms from baseline to follow-up relative to the control group using mixed-effect models. DISCUSSION: This is the first trial testing the effectiveness of smartphone apps delivered to school students to prevent depression at scale. Results from this trial will provide much-needed insight into the feasibility of this approach. They stand to inform policy and commission decisions concerning if and how such programmes should be deployed in school-based settings in Australia and beyond. TRIAL REGISTRATION: Australian and New Zealand Clinical Trial Registry, ACTRN12619000855123. Registered on 31 May 2019. Clinical Trial Notification Scheme (CTN), CT-2019-CTN-02110-1-v1. Registered on 30 June 2019."
Digital Health Interventions by Clinical Pharmacists: A Systematic Review,"Park T, Muzumdar J, Kim H.",Int J Environ Res Public Health. 2022 Jan 4;19(1):532. doi: 10.3390/ijerph19010532.,Park T,Int J Environ Res Public Health,2022,2022/01/11,PMC8744767,,10.3390/ijerph19010532,"Integrating digital interventions in healthcare has gained increasing popularity among clinical pharmacists (CPs) due to advances in technology. The purpose of this study was to systematically review CP-led digital interventions to improve patients' health-related clinical outcomes. PubMed and the Cochrane Database were searched to select studies that had conducted a randomized controlled trial to evaluate clinical outcomes in adults following a CP-led digital intervention for the period from January 2005 to August 2021. A total of 19 studies were included in our analysis. In these 19 studies, the most commonly used digital intervention by CPs was telephone use (n = 15), followed by a web-based tool (n = 2) and a mobile app (n = 2). These interventions were provided to serve a wide range of purposes in patients' outcomes: change in lab values (e.g., blood pressure, HbA1c) (n = 23), reduction in health service use (n = 8), enhancing adherence (n = 6), improvement in drug-related outcomes (n = 6), increase in survival (n = 3), and reduction in health-related risk (e.g., CVD risk) (n = 2). Although the impacts of telephone-based interventions on patients' outcomes were decidedly mixed, web-based interventions and mobile apps exerted generally positive influences. To date, little research has investigated the cost-effectiveness of digital interventions. Future studies are warranted."
Wearable Sensor and Mobile App-Based mHealth Approach for Investigating Substance Use and Related Factors in Daily Life: Protocol for an Ecological Momentary Assessment Study,"Takano A, Ono K, Nozawa K, Sato M, Onuki M, Sese J, Yumoto Y, Matsushita S, Matsumoto T.",JMIR Res Protoc. 2023 Apr 11;12:e44275. doi: 10.2196/44275.,Takano A,JMIR Res Protoc,2023,2023/04/11,PMC10131735,,10.2196/44275,"BACKGROUND: Digital health technologies using mobile apps and wearable devices are a promising approach to the investigation of substance use in the real world and for the analysis of predictive factors or harms from substance use. Moreover, consecutive repeated data collection enables the development of predictive algorithms for substance use by machine learning methods. OBJECTIVE: We developed a new self-monitoring mobile app to record daily substance use, triggers, and cravings. Additionally, a wearable activity tracker (Fitbit) was used to collect objective biological and behavioral data before, during, and after substance use. This study aims to describe a model using machine learning methods to determine substance use. METHODS: This study is an ongoing observational study using a Fitbit and a self-monitoring app. Participants of this study were people with health risks due to alcohol or methamphetamine use. They were required to record their daily substance use and related factors on the self-monitoring app and to always wear a Fitbit for 8 weeks, which collected the following data: (1) heart rate per minute, (2) sleep duration per day, (3) sleep stages per day, (4) the number of steps per day, and (5) the amount of physical activity per day. Fitbit data will first be visualized for data analysis to confirm typical Fitbit data patterns for individual users. Next, machine learning and statistical analysis methods will be performed to create a detection model for substance use based on the combined Fitbit and self-monitoring data. The model will be tested based on 5-fold cross-validation, and further preprocessing and machine learning methods will be conducted based on the preliminary results. The usability and feasibility of this approach will also be evaluated. RESULTS: Enrollment for the trial began in September 2020, and the data collection finished in April 2021. In total, 13 people with methamphetamine use disorder and 36 with alcohol problems participated in this study. The severity of methamphetamine or alcohol use disorder assessed by the Drug Abuse Screening Test-10 or the Alcohol Use Disorders Identification Test-10 was moderate to severe. The anticipated results of this study include understanding the physiological and behavioral data before, during, and after alcohol or methamphetamine use and identifying individual patterns of behavior. CONCLUSIONS: Real-time data on daily life among people with substance use problems were collected in this study. This new approach to data collection might be helpful because of its high confidentiality and convenience. The findings of this study will provide data to support the development of interventions to reduce alcohol and methamphetamine use and associated negative consequences. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/44275."
Assessing Patient Adherence to and Engagement With Digital Interventions for Depression in Clinical Trials: Systematic Literature Review,"Forbes A, Keleher MR, Venditto M, DiBiasi F.",J Med Internet Res. 2023 Aug 11;25:e43727. doi: 10.2196/43727.,Forbes A,J Med Internet Res,2023,2023/08/11,PMC10457707,,10.2196/43727,"BACKGROUND: New approaches to the treatment of depression are necessary for patients who do not respond to current treatments or lack access to them because of barriers such as cost, stigma, and provider shortage. Digital interventions for depression are promising; however, low patient engagement could limit their effectiveness. OBJECTIVE: This systematic literature review (SLR) assessed how participant adherence to and engagement with digital interventions for depression have been measured in the published literature, what levels of adherence and engagement have been reported, and whether higher adherence and increased engagement are linked to increased efficacy. METHODS: We focused on a participant population of adults (aged >/=18 years) with depression or major depressive disorder as the primary diagnosis and included clinical trials, feasibility studies, and pilot studies of digital interventions for treating depression, such as digital therapeutics. We screened 756 unique records from Ovid MEDLINE, Embase, and Cochrane published between January 1, 2000, and April 15, 2022; extracted data from and appraised the 94 studies meeting the inclusion criteria; and performed a primarily descriptive analysis. Otsuka Pharmaceutical Development & Commercialization, Inc (Princeton, New Jersey, United States) funded this study. RESULTS: This SLR encompassed results from 20,111 participants in studies using 47 unique web-based interventions (an additional 10 web-based interventions were not described by name), 15 mobile app interventions, 5 app-based interventions that are also accessible via the web, and 1 CD-ROM. Adherence was most often measured as the percentage of participants who completed all available modules. Less than half (44.2%) of the participants completed all the modules; however, the average dose received was 60.7% of the available modules. Although engagement with digital interventions was measured differently in different studies, it was most commonly measured as the number of modules completed, the mean of which was 6.4 (means ranged from 1.0 to 19.7) modules. The mean amount of time participants engaged with the interventions was 3.9 (means ranged from 0.7 to 8.4) hours. Most studies of web-based (34/45, 76%) and app-based (8/9, 89%) interventions found that the intervention group had substantially greater improvement for at least 1 outcome than the control group (eg, care as usual, waitlist, or active control). Of the 14 studies that investigated the relationship between engagement and efficacy, 9 (64%) found that increased engagement with digital interventions was significantly associated with improved participant outcomes. The limitations of this SLR include publication bias, which may overstate engagement and efficacy, and low participant diversity, which reduces the generalizability. CONCLUSIONS: Patient adherence to and engagement with digital interventions for depression have been reported in the literature using various metrics. Arriving at more standardized ways of reporting adherence and engagement would enable more effective comparisons across different digital interventions, studies, and populations."
A systematic review of mHealth interventions for the support of eating disorders,"Anastasiadou D, Folkvord F, Lupiañez-Villanueva F.",Eur Eat Disord Rev. 2018 Sep;26(5):394-416. doi: 10.1002/erv.2609. Epub 2018 Jun 21.,Anastasiadou D,Eur Eat Disord Rev,2018,2018/06/22,,,10.1002/erv.2609,"OBJECTIVE: To systematically review the existing evidence of mobile health (mHealth) tools for the treatment of eating disorders (ED). METHOD: Electronic databases (Pubmed, PsycInfo, and SCOPUS) were searched, and PRISMA guidelines were followed. Selected studies were divided into three categories according to the intended purpose of the mHealth tools used: (a) sole means of support, (b) complementary to standard face-to-face treatment, and (c) for relapse prevention. Additionally, studies were assessed on efficacy, qualitative information, and methodological quality. RESULTS: Fifteen studies were identified. Most studies using mHealth as a sole means of intervention or adjunct to traditional therapy showed no effects, although an improvement at postassessment was present in vodcast, smartphone application, and text-messaging interventions. Between group effects were only found for a text-messaging intervention for relapse prevention. Qualitative analyses showed that most mHealth interventions were considered as acceptable, supporting, and motivating by patients and therapists, although different important problems were observed in individual studies. CONCLUSIONS: Limited effects were found for mHealth interventions to reduce ED-related symptoms. A common evaluation framework for ED mHealth interventions should be proposed to assess the validity of interventions before implementing them on a larger scale in clinical practice."
