PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37003008","Mobile apps used for people living with multiple sclerosis: A scoping review","Howard Z, Win KT, Guan V.","Mult Scler Relat Disord. 2023 May;73:104628. doi: 10.1016/j.msard.2023.104628. Epub 2023 Mar 21.","Howard Z","Mult Scler Relat Disord","2023","2023/04/01","","","10.1016/j.msard.2023.104628"
"38815261","Smartphone App Designed to Collect Health Information in Older Adults: Usability Study","Murabito JM, Faro JM, Zhang Y, DeMalia A, Hamel A, Agyapong N, Liu H, Schramm E, McManus DD, Borrelli B.","JMIR Hum Factors. 2024 May 30;11:e56653. doi: 10.2196/56653.","Murabito JM","JMIR Hum Factors","2024","2024/05/30","PMC11176875","","10.2196/56653"
"36083606","mHealth Apps Using Behavior Change Techniques to Self-report Data: Systematic Review","Aguiar M, Trujillo M, Chaves D, Álvarez R, Epelde G.","JMIR Mhealth Uhealth. 2022 Sep 9;10(9):e33247. doi: 10.2196/33247.","Aguiar M","JMIR Mhealth Uhealth","2022","2022/09/09","PMC9508675","","10.2196/33247"
"38113071","Efficacy of an mHealth App to Support Patients' Self-Management of Hypertension: Randomized Controlled Trial","Liu F, Song T, Yu P, Deng N, Guan Y, Yang Y, Ma Y.","J Med Internet Res. 2023 Dec 19;25:e43809. doi: 10.2196/43809.","Liu F","J Med Internet Res","2023","2023/12/19","PMC10762623","","10.2196/43809"
"31210138","Context-Aware Systems for Chronic Disease Patients: Scoping Review","Yin K, Laranjo L, Tong HL, Lau AY, Kocaballi AB, Martin P, Vagholkar S, Coiera E.","J Med Internet Res. 2019 Jun 17;21(6):e10896. doi: 10.2196/10896.","Yin K","J Med Internet Res","2019","2019/06/19","PMC6601254","","10.2196/10896"
"35451968","Digital Health Technologies for Long-term Self-management of Osteoporosis: Systematic Review and Meta-analysis","Alhussein G, Hadjileontiadis L.","JMIR Mhealth Uhealth. 2022 Apr 21;10(4):e32557. doi: 10.2196/32557.","Alhussein G","JMIR Mhealth Uhealth","2022","2022/04/22","PMC9073608","","10.2196/32557"
"30664461","Mobile-Based Interventions for Dietary Behavior Change and Health Outcomes: Scoping Review","Kankanhalli A, Shin J, Oh H.","JMIR Mhealth Uhealth. 2019 Jan 21;7(1):e11312. doi: 10.2196/11312.","Kankanhalli A","JMIR Mhealth Uhealth","2019","2019/01/22","PMC6360385","","10.2196/11312"
"33620473","Atrial fibrillation self-management: a mobile telephone app scoping review and content analysis","Pearsons A, Hanson CL, Gallagher R, O'Carroll RE, Khonsari S, Hanley J, Strachan FE, Mills NL, Quinn TJ, McKinstry B, McHale S, Stewart S, Zhang M, O'Connor S, Neubeck L.","Eur J Cardiovasc Nurs. 2021 May 22;20(4):305-314. doi: 10.1093/eurjcn/zvaa014.","Pearsons A","Eur J Cardiovasc Nurs","2021","2021/02/23","PMC8210674","","10.1093/eurjcn/zvaa014"
"31894391","E-mental health applications for depression: an evidence-based ethical analysis","Rubeis G.","Eur Arch Psychiatry Clin Neurosci. 2021 Apr;271(3):549-555. doi: 10.1007/s00406-019-01093-y. Epub 2020 Jan 1.","Rubeis G","Eur Arch Psychiatry Clin Neurosci","2021","2020/01/03","","","10.1007/s00406-019-01093-y"
"28639990","Recent mobile health interventions to support medication adherence among HIV-positive MSM","Muessig KE, LeGrand S, Horvath KJ, Bauermeister JA, Hightow-Weidman LB.","Curr Opin HIV AIDS. 2017 Sep;12(5):432-441. doi: 10.1097/COH.0000000000000401.","Muessig KE","Curr Opin HIV AIDS","2017","2017/06/23","PMC5762120","NIHMS910269","10.1097/COH.0000000000000401"
"38167316","Effectiveness of mobile application interventions for stroke survivors: systematic review and meta-analysis","Cao W, Kadir AA, Tang W, Wang J, Yuan J, Hassan II.","BMC Med Inform Decis Mak. 2024 Jan 2;24(1):6. doi: 10.1186/s12911-023-02391-1.","Cao W","BMC Med Inform Decis Mak","2024","2024/01/03","PMC10763083","","10.1186/s12911-023-02391-1"
"32848328","Impact of mobile health and medical applications on clinical practice in gastroenterology","Kernebeck S, Busse TS, Böttcher MD, Weitz J, Ehlers J, Bork U.","World J Gastroenterol. 2020 Aug 7;26(29):4182-4197. doi: 10.3748/wjg.v26.i29.4182.","Kernebeck S","World J Gastroenterol","2020","2020/08/28","PMC7422538","","10.3748/wjg.v26.i29.4182"
"37605977","Effectiveness of mobile health interventions for pregnant women with gestational diabetes mellitus: a systematic review and meta-analysis","Wei HX, Yang YL, Luo TY, Chen WQ.","J Obstet Gynaecol. 2023 Dec;43(2):2245906. doi: 10.1080/01443615.2023.2245906.","Wei HX","J Obstet Gynaecol","2023","2023/08/22","","","10.1080/01443615.2023.2245906"
"32553848","Smartphone apps for the treatment of mental health conditions: status and considerations","Huckvale K, Nicholas J, Torous J, Larsen ME.","Curr Opin Psychol. 2020 Dec;36:65-70. doi: 10.1016/j.copsyc.2020.04.008. Epub 2020 May 4.","Huckvale K","Curr Opin Psychol","2020","2020/06/20","","","10.1016/j.copsyc.2020.04.008"
"26458380","Mobile Phone and Smartphone Technologies for Diabetes Care and Self-Management","Garabedian LF, Ross-Degnan D, Wharam JF.","Curr Diab Rep. 2015 Dec;15(12):109. doi: 10.1007/s11892-015-0680-8.","Garabedian LF","Curr Diab Rep","2015","2015/10/14","PMC6525331","NIHMS1025099","10.1007/s11892-015-0680-8"
"33871065","Digital interventions for the management of chronic obstructive pulmonary disease","Janjua S, Banchoff E, Threapleton CJ, Prigmore S, Fletcher J, Disler RT.","Cochrane Database Syst Rev. 2021 Apr 19;4(4):CD013246. doi: 10.1002/14651858.CD013246.pub2.","Janjua S","Cochrane Database Syst Rev","2021","2021/04/19","PMC8094214","","10.1002/14651858.CD013246.pub2"
"28661072","Sensing behavioral symptoms of mental health and delivering personalized interventions using mobile technologies","Aung MH, Matthews M, Choudhury T.","Depress Anxiety. 2017 Jul;34(7):603-609. doi: 10.1002/da.22646. Epub 2017 Jun 29.","Aung MH","Depress Anxiety","2017","2017/06/30","PMC6169783","NIHMS989090","10.1002/da.22646"
"37639300","Acceptability of Personal Sensing Among People With Alcohol Use Disorder: Observational Study","Wyant K, Moshontz H, Ward SB, Fronk GE, Curtin JJ.","JMIR Mhealth Uhealth. 2023 Aug 28;11:e41833. doi: 10.2196/41833.","Wyant K","JMIR Mhealth Uhealth","2023","2023/08/28","PMC10495858","","10.2196/41833"
"34983335","The Acceptability of a Smartphone App (BlueIce) for University Students Who Self-harm","Cliffe B, Stokes Z, Stallard P.","Arch Suicide Res. 2023 Apr-Jun;27(2):565-581. doi: 10.1080/13811118.2021.2022552. Epub 2022 Jan 4.","Cliffe B","Arch Suicide Res","2023","2022/01/05","","","10.1080/13811118.2021.2022552"
"35894246","Predicting states of elevated negative affect in adolescents from smartphone sensors: a novel personalized machine learning approach","Ren B, Balkind EG, Pastro B, Israel ES, Pizzagalli DA, Rahimi-Eichi H, Baker JT, Webb CA.","Psychol Med. 2023 Aug;53(11):5146-5154. doi: 10.1017/S0033291722002161. Epub 2022 Jul 27.","Ren B","Psychol Med","2023","2022/07/27","PMC10650966","NIHMS1941241","10.1017/S0033291722002161"
"35488295","Engaging with EPIO, a digital pain self-management program: a qualitative study","Bostrøm K, Varsi C, Eide H, Børøsund E, Kristjansdottir ÓB, Schreurs KMG, Waxenberg LB, Weiss KE, Morrison EJ, Nordang EF, Stubhaug A, Nes LS.","BMC Health Serv Res. 2022 Apr 29;22(1):577. doi: 10.1186/s12913-022-07963-x.","Bostrøm K","BMC Health Serv Res","2022","2022/04/29","PMC9052507","","10.1186/s12913-022-07963-x"
"37978811","User-Centered Design of a Diabetes Self-Management Tool for Underserved Populations","Bonet-Olivencia S, Carrillo-Leal J, Rao A, Sasangohar F.","J Diabetes Sci Technol. 2024 Jan;18(1):22-29. doi: 10.1177/19322968231212220. Epub 2023 Nov 18.","Bonet-Olivencia S","J Diabetes Sci Technol","2024","2023/11/18","PMC10899832","","10.1177/19322968231212220"
"31930477","Digital navigators to implement smartphone and digital tools in care","Wisniewski H, Torous J.","Acta Psychiatr Scand. 2020 Apr;141(4):350-355. doi: 10.1111/acps.13149. Epub 2020 Jan 26.","Wisniewski H","Acta Psychiatr Scand","2020","2020/01/14","PMC7928068","NIHMS1672755","10.1111/acps.13149"
"32040072","Efficacy of Mobile Health for Self-management of Cardiometabolic Risk Factors: A Theory-Guided Systematic Review","Delva S, Waligora Mendez KJ, Cajita M, Koirala B, Shan R, Wongvibulsin S, Vilarino V, Gilmore DR, Han HR.","J Cardiovasc Nurs. 2021 Jan/Feb;36(1):34-55. doi: 10.1097/JCN.0000000000000659.","Delva S","J Cardiovasc Nurs","2021","2020/02/11","PMC7713761","","10.1097/JCN.0000000000000659"
"36821352","Mobile Health Apps for Breast Cancer: Content Analysis and Quality Assessment","Yang S, Bui CN, Park K.","JMIR Mhealth Uhealth. 2023 Feb 23;11:e43522. doi: 10.2196/43522.","Yang S","JMIR Mhealth Uhealth","2023","2023/02/23","PMC9999256","","10.2196/43522"
"34058610","Exploring the features of an app-based just-in-time intervention for depression","Everitt N, Broadbent J, Richardson B, Smyth JM, Heron K, Teague S, Fuller-Tyszkiewicz M.","J Affect Disord. 2021 Aug 1;291:279-287. doi: 10.1016/j.jad.2021.05.021. Epub 2021 May 24.","Everitt N","J Affect Disord","2021","2021/05/31","","","10.1016/j.jad.2021.05.021"
"32005328","Cognitive-Behavioral Therapy in the Digital Age: Presidential Address","Wilhelm S, Weingarden H, Ladis I, Braddick V, Shin J, Jacobson NC.","Behav Ther. 2020 Jan;51(1):1-14. doi: 10.1016/j.beth.2019.08.001. Epub 2019 Aug 8.","Wilhelm S","Behav Ther","2020","2020/02/02","PMC7155747","NIHMS1575628","10.1016/j.beth.2019.08.001"
"26681206","Contribution of mobile health applications to self-management by consumers: review of published evidence","Anderson K, Emmerton LM.","Aust Health Rev. 2016 Nov;40(5):591-597. doi: 10.1071/AH15162.","Anderson K","Aust Health Rev","2016","2015/12/19","","","10.1071/AH15162"
"31293241","Telehealth Interventions for Improving Self-Management in Patients With Hemophilia: Scoping Review of Clinical Studies","Qian W, Lam TT, Lam HHW, Li CK, Cheung YT.","J Med Internet Res. 2019 Jul 10;21(7):e12340. doi: 10.2196/12340.","Qian W","J Med Internet Res","2019","2019/07/12","PMC6652120","","10.2196/12340"
"28219430","Digital health system for personalised COPD long-term management","Velardo C, Shah SA, Gibson O, Clifford G, Heneghan C, Rutter H, Farmer A, Tarassenko L; EDGE COPD Team.","BMC Med Inform Decis Mak. 2017 Feb 20;17(1):19. doi: 10.1186/s12911-017-0414-8.","Velardo C","BMC Med Inform Decis Mak","2017","2017/02/22","PMC5319140","","10.1186/s12911-017-0414-8"
"34598848","The effectiveness of user-focused mobile health applications in paediatric chronic disease management: A systematic review","Karataş N, Kaya A, İşler Dalgıç A.","J Pediatr Nurs. 2022 Mar-Apr;63:e149-e156. doi: 10.1016/j.pedn.2021.09.018. Epub 2021 Sep 28.","Karataş N","J Pediatr Nurs","2022","2021/10/02","","","10.1016/j.pedn.2021.09.018"
"28669284","Ecological Momentary Assessment and Intervention in the Treatment of Psychotic Disorders: A Systematic Review","Bell IH, Lim MH, Rossell SL, Thomas N.","Psychiatr Serv. 2017 Nov 1;68(11):1172-1181. doi: 10.1176/appi.ps.201600523. Epub 2017 Jul 3.","Bell IH","Psychiatr Serv","2017","2017/07/04","","","10.1176/appi.ps.201600523"
"38055087","eHealth interventions to support colorectal cancer patients' self-management after discharge from surgery-an integrative literature review","Husebø ALM, Søreide JA, Kørner H, Storm M, Wathne HB, Richardson A, Morken IM, Urstad KH, Nordfonn OK, Karlsen B.","Support Care Cancer. 2023 Dec 6;32(1):11. doi: 10.1007/s00520-023-08191-7.","Husebø ALM","Support Care Cancer","2023","2023/12/06","PMC10700211","","10.1007/s00520-023-08191-7"
"33180027","Standalone Smartphone Cognitive Behavioral Therapy-Based Ecological Momentary Interventions to Increase Mental Health: Narrative Review","Marciniak MA, Shanahan L, Rohde J, Schulz A, Wackerhagen C, Kobylińska D, Tuescher O, Binder H, Walter H, Kalisch R, Kleim B.","JMIR Mhealth Uhealth. 2020 Nov 12;8(11):e19836. doi: 10.2196/19836.","Marciniak MA","JMIR Mhealth Uhealth","2020","2020/11/12","PMC7691088","","10.2196/19836"
"25991158","Nursing Intervention using smartphone technologies; a systematic review and meta-analysis","Jeon E, Park HA.","Stud Health Technol Inform. 2015;210:321-5.","Jeon E","Stud Health Technol Inform","2015","2015/05/21","","",""
"32947994","A Pilot Evaluation of a Smartphone Application for Workplace Depression","Collins DAJ, Harvey SB, Lavender I, Glozier N, Christensen H, Deady M.","Int J Environ Res Public Health. 2020 Sep 16;17(18):6753. doi: 10.3390/ijerph17186753.","Collins DAJ","Int J Environ Res Public Health","2020","2020/09/19","PMC7576478","","10.3390/ijerph17186753"
"38216233","Availability of Internet-Based Cognitive-Behavioral Therapies for Depression: A Systematic Review","Buss JF, Steinberg JS, Banks G, Horani D, Rutter LA, Wasil AR, Ramirez I, Lorenzo-Luaces L.","Behav Ther. 2024 Jan;55(1):201-211. doi: 10.1016/j.beth.2023.06.003. Epub 2023 Jun 29.","Buss JF","Behav Ther","2024","2024/01/12","PMC10787155","NIHMS1931096","10.1016/j.beth.2023.06.003"
"31842019","Online interventions geared toward increasing resilience and reducing distress in family caregivers","Shin JY, Choi SW.","Curr Opin Support Palliat Care. 2020 Mar;14(1):60-66. doi: 10.1097/SPC.0000000000000481.","Shin JY","Curr Opin Support Palliat Care","2020","2019/12/17","PMC6996606","NIHMS1067125","10.1097/SPC.0000000000000481"
"35918702","Mobile health platform based on user-centered design to promote exercise for patients with peripheral artery disease","Kim M, Kim Y, Choi M.","BMC Med Inform Decis Mak. 2022 Aug 2;22(1):206. doi: 10.1186/s12911-022-01945-z.","Kim M","BMC Med Inform Decis Mak","2022","2022/08/02","PMC9347067","","10.1186/s12911-022-01945-z"
"26283290","Mobile Apps for Bipolar Disorder: A Systematic Review of Features and Content Quality","Nicholas J, Larsen ME, Proudfoot J, Christensen H.","J Med Internet Res. 2015 Aug 17;17(8):e198. doi: 10.2196/jmir.4581.","Nicholas J","J Med Internet Res","2015","2015/08/19","PMC4642376","","10.2196/jmir.4581"
"35234655","mHealth Interventions for Self-management of Hypertension: Framework and Systematic Review on Engagement, Interactivity, and Tailoring","Cao W, Milks MW, Liu X, Gregory ME, Addison D, Zhang P, Li L.","JMIR Mhealth Uhealth. 2022 Mar 2;10(3):e29415. doi: 10.2196/29415.","Cao W","JMIR Mhealth Uhealth","2022","2022/03/02","PMC8928043","","10.2196/29415"
"34994693","Digital Behavior Change Interventions for the Prevention and Management of Type 2 Diabetes: Systematic Market Analysis","Keller R, Hartmann S, Teepe GW, Lohse KM, Alattas A, Tudor Car L, Müller-Riemenschneider F, von Wangenheim F, Mair JL, Kowatsch T.","J Med Internet Res. 2022 Jan 7;24(1):e33348. doi: 10.2196/33348.","Keller R","J Med Internet Res","2022","2022/01/07","PMC8783286","","10.2196/33348"
"38767319","A Web-Based Intervention for Insufficiently Active College Students: Feasibility and Preliminary Efficacy","Hartson KR, Della LJ, King KM, Liu S, Chatman JM, Rhodes RE.","West J Nurs Res. 2024 Jul;46(7):541-551. doi: 10.1177/01939459241253218. Epub 2024 May 20.","Hartson KR","West J Nurs Res","2024","2024/05/20","","","10.1177/01939459241253218"
"33558417","Changing personality traits with the help of a digital personality change intervention","Stieger M, Flückiger C, Rüegger D, Kowatsch T, Roberts BW, Allemand M.","Proc Natl Acad Sci U S A. 2021 Feb 23;118(8):e2017548118. doi: 10.1073/pnas.2017548118.","Stieger M","Proc Natl Acad Sci U S A","2021","2021/02/09","PMC7923371","","10.1073/pnas.2017548118"
"32306847","The effectiveness of mHealth interventions on postpartum depression: A systematic review and meta-analysis","Zhou C, Hu H, Wang C, Zhu Z, Feng G, Xue J, Yang Z.","J Telemed Telecare. 2022 Feb;28(2):83-95. doi: 10.1177/1357633X20917816. Epub 2020 Apr 19.","Zhou C","J Telemed Telecare","2022","2020/04/21","","","10.1177/1357633X20917816"
