key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-28721396,Personalized prediction of smartphone-based psychotherapeutic micro-intervention success using machine learning,2020.0,1,1,,,,,,"G Meinlschmidt, M Tegethoff, A Belardi…",,,Elsevier,,"Highlights

•

Tailoring healthcare to patients’ needs is a central goal of precision medicine.

•

We used machine learning to predict success of smartphone-based micro-interventions.

•

Mood improved from pre- to post-intervention in 137 sessions (success-rate: 42.3%).

•

A random forest approach improved predictions of micro-intervention success.

•

Our findings may pave the way to improve treatment efficacy.

Abstract
Background

Tailoring healthcare to patients’ individual needs is a central goal of precision medicine. Combining smartphone-based interventions with machine learning approaches may help attaining this goal. The aim of our study was to explore the predictability of the success of smartphone-based psychotherapeutic micro-interventions in eliciting mood changes using machine learning.

Methods

Participants conducted daily smartphone-based psychotherapeutic micro-interventions, guided by short video clips, for 13 consecutive days. Participants chose one of four intervention techniques used in psychotherapeutic approaches. Mood changes were assessed using the Multidimensional Mood State Questionnaire. Micro-intervention success was predicted using random forest (RF) tree-based mixed-effects logistic regression models. Data from 27 participants were used, totaling 324 micro-interventions, randomly split 100 times into training and test samples, using within-subject and between-subject sampling.

Results

Mood improved from pre- to post-intervention in 137 sessions (initial success-rate: 42.3%). The RF approach resulted in predictions of micro-intervention success significantly better than the initial success-rate within and between subjects (positive predictive value: 0.732 (95%-CI: 0.607; 0.820) and 0.698 (95%-CI: 0.564; 0.805), respectively). Prediction quality was highest using the RF approach within subjects (rand accuracy: 0.75 (95%-CI: 0.641; 0.840), Matthew's correlation coefficient: 0.483 (95%-CI: 0.323; 0.723)).

Limitations

The RF approach does not allow firm conclusions about the exact contribution of each factor to the algorithm's predictions. We included a limited number of predictors and did not compare whether predictability differed between psychotherapeutic techniques.

Conclusions

Our findings may pave the way for translation and encourage scrutinizing personalized prediction in the psychotherapeutic context to improve treatment efficacy.","",,"",,
rayyan-28721397,A compassion-focused ecological momentary intervention for enhancing resilience in help-seeking youth: uncontrolled pilot study,2021.0,1,1,,,,,,"C Rauschenberg, B Boecking, I Paetzold…",,,mental.jmir.org,,"Abstract

Background:
Digital interventions offer new avenues for low-threshold prevention and treatment in young people. Ecological momentary interventions (EMIs) represent a powerful approach that allows for adaptive, real-time, and real-world delivery of intervention components in daily life by real-time processing of ecological momentary assessment (EMA) data. Compassion-focused interventions (CFIs) may be particularly amenable to translation into an EMI to strengthen emotional resilience and modify putative risk mechanisms, such as stress sensitivity, in the daily lives of young help-seeking individuals.


Objective:
This study aims to investigate the feasibility, safety, and initial therapeutic effects of a novel, accessible, transdiagnostic, ecological momentary CFI for improving emotional resilience to stress (EMIcompass).


Methods:
In this uncontrolled pilot study, help-seeking youth with psychotic, depressive, or anxiety symptoms were offered the EMIcompass intervention in addition to treatment as usual. The EMIcompass intervention consisted of a 3-week EMI (including enhancing, consolidating, and EMA-informed interactive tasks) administered through a mobile health app and three face-to-face sessions with a trained psychologist intended to provide guidance and training on the CFI exercises presented in the app (ie, training session, follow-up booster session, and review session).


Results:
In total, 10 individuals (mean age 20.3 years, SD 3.8; range 14-25) were included in the study. Most (8/10, 80%) participants were satisfied and reported a low burden of app usage. No adverse events were observed. In approximately one-third of all EMAs, individuals scored high on stress, negative affect, or threat anticipation during the intervention period, resulting in real-time, interactive delivery of the CFI intervention components in addition to weekly enhancing and daily consolidating tasks. Although the findings should be interpreted with caution because of the small sample size, reduced stress sensitivity, momentary negative affect, and psychotic experiences, along with increased positive affect, were found at postintervention and the 4-week follow-up. Furthermore, reductions in psychotic, anxiety, and depressive symptoms were found (r=0.30-0.65).


Conclusions:
Our findings provide evidence on the feasibility and safety of the EMIcompass intervention for help-seeking youth and lend initial support to beneficial effects on stress sensitivity and mental health outcomes. An exploratory randomized controlled trial is warranted to establish the feasibility and preliminary evidence of its efficacy.


JMIR Ment Health 2021;8(8):e25650

doi:10.2196/25650


Keywords
mental health (1649); adolescent psychopathology (1); digital interventions (69); mobile health (1629); self-compassion (18); ecological momentary assessment (234); mobile phone (2900) ","",,"",,
rayyan-28721400,"An open trial of a smartphone-assisted, adjunctive intervention to improve treatment adherence in bipolar disorder",2016.0,1,1,,,,,,"SJ Wenze, MF Armey, LM Weinstock…",,,journals.lww.com,,"Abstract

We evaluated the feasibility and acceptability of a novel, 12-week, adjunctive, smartphone-assisted intervention to improve treatment adherence in bipolar disorder. Eight participants completed 4 in-person individual therapy sessions over the course of a month, followed by 60 days of twice-daily ecological momentary intervention (EMI) sessions, with a fifth in-person session after 30 days and a sixth in-person session after 60 days. Perceived credibility of the intervention and expectancy for change were adequate at baseline, and satisfaction on completion of the intervention was very high. Participants demonstrated good adherence to the intervention overall, including excellent adherence to the in-person component and fair adherence to the smartphone-facilitated component. Qualitative feedback revealed very high satisfaction with the in-person sessions and suggested a broad range of ways in which the EMI sessions were helpful. Participants also provided suggestions for improving the intervention, which primarily related to the structure and administration of the EMI (smartphone-administered) sessions. Although this study was not designed to evaluate treatment efficacy, most key outcome variables changed in the expected directions from pretreatment to posttreatment, and several variables changed significantly over the course of the in-person sessions or during the EMI phase. These findings add to the small but growing body of literature suggesting that EMIs are feasible and acceptable for use in populations with bipolar disorder.","",,"",,
rayyan-28721406,Exploring the features of an app-based just-in-time intervention for depression,2021.0,1,1,,,,,,"N Everitt, J Broadbent, B Richardson, JM Smyth…",,,Elsevier,,"Highlights

•

Emerging evidence supports the use of “just-in-time” micro-interventions for depression, however it remains unclear which features of such interventions have contributed to symptom improvement.

•

We evaluated three levels of features of micro-interventions against a wait-list control: mood tracking, mood tracking + content, mood tracking + content + just-in-time prompts.

•

Immediate improvements in mood were observed in micro-intervention content conditions, along with greater improvements in depressive and automatic negative symptoms.

•

The addition of just-in-time prompts to the micro-intervention did not appear to improve efficacy, contrary to expectation.

•

Our findings strengthen the evidence for micro-interventions, and have important implications for their effective design.

Abstract
Background

Technological advancements make it possible to deliver depression interventions via smartphone applications (“Apps”), including those that deliver content “just-in-time” (e.g., in response to acute negative mood states). This study examined whether an app-based just-in-time intervention (ImproveYourMood+) decreased depressive symptoms, and whether the following features were related to symptom improvement: micro-intervention content, mood monitoring, and just-in-time prompts to use content.

Methods

Participants (n = 235) from the general population who self-identified as wanting to improve their negative mood were randomised to a waitlist control group (n = 55) or one of three intervention groups: MoodTracker (monitoring-only, n = 58), ImproveYourMood (monitoring and content; n = 62), or ImproveYourMood+ (monitoring, content, and prompts; n = 60). The active intervention phase was 3 weeks. Depressive and anxiety symptoms, and negative automatic thoughts were assessed at baseline, immediately post-intervention, and one month following post-intervention.

Results

Linear mixed modelling revealed greater declines over time in depressive and anxiety symptoms and negative automatic thoughts for the ImproveYourMood group (standardized mean differences [SMDs] ranged from .32 to .40) and improves for the ImproveYourMood+ group for negative automatic thoughts (SMDs ≥ .37) compared to the waitlist control group. No between-group differences were observed between the MoodTracker and control groups (SMDs = .04–.23). User experience appeared to be superior in more comprehensive/multi-modal versions.

Limitations

The study employed a naturalistic design, whereby participants self-selected to utilise the program, did not complete eligibility assessments, and did not receive compensation. The study therefore attained considerable drop-out rate (~50% by the follow-up timepoints), potentially reflecting the usage patterns of real-world mental health apps.

Conclusions

The findings suggest that micro-interventions can be an effective way to reduce depressive symptoms both in the moment and 1–2 months later. Integration of micro-interventions with full treatment programs is a viable next step in micro-intervention research.","",,"",,
rayyan-28721416,Client experiences of blending a coping-focused therapy for auditory verbal hallucinations with smartphone-based ecological momentary assessment and …,2020.0,1,1,,,,,,"E Moore, A Williams, I Bell, N Thomas",,,Elsevier,,"Highlights

•

Participants who heard voices found smartphone-based monitoring and coping prompts helpful in supporting face-to-face therapy

•

Monitoring symptoms in everyday life aided communication with the therapist, promoting efficiency and empathy

•

Smartphone notifications made participants feel more connected to their therapist, deepening the therapeutic relationship

Abstract

This study explored participants' experiences of a novel intervention blending ecological momentary assessment and intervention (EMA/I) digital technologies with four face-to-face therapy sessions to improve coping in people who experience persisting auditory verbal hallucinations (hear voices). A smartphone app was used to deliver prompts to facilitate both self-monitoring and self-management of voices. Analysis of data recorded by the app was also used in-session to develop an idiographic formulation of antecedents of and responses to voice-hearing episodes. Semi-structured interviews were conducted with 12 participants who completed the blended therapy. A thematic approach was used to analyse the data, generating four main themes, with associated subthemes: (1) Therapy experience changed by digital technology; (2) Valuing face-to-face component; (3) Preference for different phases of the digital technology; (4) Not as bothered by voices. Key findings revealed that participants perceived EMA/I technology as helping capture their experience more accurately and communicate this more effectively to the therapist, which, in combination with coping prompts developed in-session, deepened the therapeutic relationship. These findings add to the emerging literature that shows blended therapy can play an important role in the treatment of people with psychosis, and suggest potential of EMA/I as a technology for other clinical populations.","",,"",,
rayyan-28721417,A Just-In-Time Adaptive intervention (JITAI) for smoking cessation: Feasibility and acceptability findings,2023.0,1,1,,,,,,"MJ Yang, SK Sutton, LM Hernandez, SR Jones…",,,Elsevier,,"Highlights

•

A multi-component JITAI was delivered to individuals attempting to quit smoking.

•

Delivery of brief mindfulness/motivational strategies was generally feasible.

•

Mindfulness strategies for smoking cessation were perceived as highly acceptable.

Abstract

Smoking cessation treatments that are easily accessible and deliver intervention content at vulnerable moments (e.g., high negative affect) have great potential to impact tobacco abstinence. The current study examined the feasibility and acceptability of a multi-component Just-In-Time Adaptive Intervention (JITAI) for smoking cessation. Daily smokers interested in quitting were consented to participate in a 6-week cessation study. Visit 1 occurred 4 days pre-quit, Visit 2 was on the quit day, Visit 3 occurred 3 days post-quit, Visit 4 was 10 days post-quit, and Visit 5 was 28 days post-quit. During the first 2 weeks (Visits 1–4), the JITAI delivered brief mindfulness/motivational strategies via smartphone in real-time based on negative affect or smoking behavior detected by wearable sensors. Participants also attended 5 in-person visits, where brief cessation counseling (Visits 1–4) and nicotine replacement therapy (Visits 2–5) were provided. Outcomes were feasibility and acceptability; biochemically-confirmed abstinence was also measured. Participants (N = 43) were 58.1 % female (AgeMean = 49.1, mean cigarettes per day = 15.4). Retention through follow-up was high (83.7 %). For participants with available data (n = 38), 24 (63 %) met the benchmark for sensor wearing, among whom 16 (67 %) completed at least 60 % of strategies. Perceived ease of wearing sensors (Mean = 5.1 out of 6) and treatment satisfaction (Mean = 3.6 out of 4) were high. Biochemically-confirmed abstinence was 34 % at Visit 4 and 21 % at Visit 5. Overall, the feasibility of this novel multi-component intervention for smoking cessation was mixed but acceptability was high. Future studies with improved technology will decrease participant burden and better detect key intervention moments.","",,"",,
rayyan-28721419,An ecological momentary intervention study of emotional responses to smartphone-prompted CBT skills practice and the relationship to clinical outcomes,2022.0,1,1,,,,,,"EE Bernstein, KH Bentley, MK Nock, MB Stein, S Beck…",,,Elsevier,,"Highlights

•

Independent practice of cognitive behavioral therapy skills improves outcomes.

•

Patients reported modest reductions in negative affect after skills practice.

•

Immediate reductions were largely unrelated to clinical outcomes.

•

Outcomes were predicted by skills-related improvements in affect after a delay.

Abstract

The practice of therapeutic skills outside of sessions in which they are learned is one presumed key component of cognitive behavioral therapy (CBT). Yet, our understanding of how skills practice relates to clinical outcomes remains limited. Here, we explored patients’ emotional responses to CBT skills practice in a pilot study pairing smartphone-app-delivered skills reminders and guided practice (ecological momentary intervention [EMI]) using ecological momentary assessment (EMA). Participants (n = 25) were adults recently hospitalized for a suicide attempt or severe suicidal thinking. They received brief inpatient CBT (1 to 3 sessions covering core CBT skills from the Unified Protocol), followed by 1 month of EMI and EMA after discharge. On average, participants reported modest reductions in negative affect after skills use (i.e., immediate responses; median time elapsed = 4.30 minutes). Additionally, participants tended to report less negative affect when the timepoint preceding the current assessment included EMI skills practice, rather than EMA alone (i.e., delayed responses; median time elapsed between prompts = 2.17 hours). Immediate effects were unrelated to longer-term clinical outcomes, whereas greater delayed effects were associated with lower symptom severity at follow-up. Future studies should further examine how CBT skills use in daily life may alleviate symptoms.","",,"",,
rayyan-28721423,A randomized controlled trial of a 14-day mindfulness ecological momentary intervention (MEMI) for generalized anxiety disorder,2023.0,1,1,,,,,,"NH Zainal, MG Newman",,,cambridge.org,,"Background

Little is known about whether brief mindfulness ecological momentary interventions (MEMIs) yield clinically beneficial effects. This gap exists despite the rapid growth of smartphone mindfulness applications. Specifically, no prior brief MEMI has targeted generalized anxiety disorder (GAD). Moreover, although theories propose that MEMIs can boost executive functioning (EF), they have largely gone untested. Thus, this randomized controlled trial (RCT) aimed to address these gaps by assessing the efficacy of a 14-day smartphone MEMI (versus self-monitoring placebo [SMP]).

Method

Participants with GAD were randomly assigned to either condition (68 MEMI and 42 SMP). MEMI participants exercised multiple core mindfulness strategies and were instructed to practice mindfulness continually. Comparatively, SMP participants were prompted to practice self-monitoring and were not taught any mindfulness strategies. All prompts occurred five times a day for 14 consecutive days. Participants completed self-reports and neuropsychological assessments at baseline, posttreatment, and 1-month follow-up (1MFU). Piecewise hierarchical linear modeling analyses were conducted.

Results

MEMI (versus SMP) produced greater pre-1MFU reductions in GAD severity and perseverative cognitions (between-group d = 0.393–0.394) and stronger improvements in trait mindfulness and performance-based inhibition (d = 0.280–0.303). Further, MEMI (versus SMP) led to more considerable pre- to posttreatment reduction in state-level depression and anxiety and more mindfulness gains (d = 0.50–1.13). Overall, between-treatment effects were stronger at pre-1MFU than pre- to posttreatment for trait-level than state-level treatment outcome measures.

Conclusions

Preliminary findings suggest that the beneficial effect of an unguided brief MEMI to target pathological worry, trait mindfulness, and EF is modest yet potentially meaningful. Other theoretical and clinical implications were discussed.","",,"",,
rayyan-28721427,Ecological momentary assessments and interventions in Alzheimer's caregiving,2018.0,1,1,,,,,,C Lazzari,,,ingentaconnect.com,,"Background: Caregivers of persons with Alzheimer's Disease (AD) often experience feelings of lack of support and information from specialists when operating in real scenarios, inclusive of old-age psychiatric wards, care homes, community, and patient's home.

Objective: AD caregivers can provide narrative about what issues need to be addressed in Ecological Momentary Assessment (EMA) to capture real-time and real-scenario needs in AD caregiving, and Ecological Momentary Interventions (EMI) as online e-learning to assist in areas of concerns.

Method: Twelve focus group discussions took place with AD caregivers for a total of 62 people interviewed. Once major themes in surveys and learning were identified by using discourse analysis, AD caregivers expressed the likelihood that these themes (where 0 meant “nil” and 1 meant “completely”) would address their focal needs in caregiving and topics in learning. Z scores for proportions and Cohen's d effect size were calculated for each item reporting the averaged scores.

Results: AD caregivers indicated that the major areas of concern that could benefit from an EMA/EMI online platform were: support (d=3.08), collaboration (d=1.85), medication review (d=1.21), dealing with grief and mourning, and time (d=0.97). Moreover, they identified personal resources available to provide help to colleagues: support (d=1.34), information (d=0.97), collaboration (d=2.06), hospital admission (d=3.08), and hospital discharge (d=5.50).

Conclusion: Focus groups and narratives can be the initial stage in creating a dedicated AD app supporting EMA/EMI in AD care.","",,"",,
rayyan-28721428,Characterizing breakthrough cancer pain using ecological momentary assessment with a smartphone app: feasibility and clinical findings,2021.0,1,1,,,,,,"F Villegas, V Martínez-Borba, C Suso-Ribera…",,,mdpi.com,,"Abstract
Background: mobile applications (apps) facilitate cancer pain ecological momentary assessment (EMA) and provide more reliable data than retrospective monitoring. The aims of this study are (a) to describe the status of persons with cancer pain when assessed ecologically, (b) to analyze the utility of clinical alarms integrated into the app, and (c) to test the feasibility of implementing an app for daily oncological pain monitoring. Methods: in this feasibility study, 21 patients (mean age = 56.95 years, SD = 10.53, 81.0% men) responded to an app-based evaluation of physical status (baseline and breakthrough cancer pain (BTcP)) and mental health variables (fatigue, mood, and coping) daily during 30 days. Results: cancer pain characterization with the app was similar to data from the literature using retrospective assessments in terms of BTcP duration and perceived medication effectiveness. However, BTcP was less frequent when evaluated ecologically. Pain, fatigue, and mood were comparable in the morning and evening. Passive coping strategies were the most employed daily. Clinical alarms appear to be useful to detect and address adverse events. App implementation was feasible and acceptable. Conclusion: apps reduce recall bias and facilitate a rapid response to adverse events in oncological care. Future efforts should be addressed to integrate EMA and ecological momentary interventions to facilitate pain self-management via apps.","",,"",,
rayyan-28721429,Adaptive symptom monitoring using hidden markov models–an application in ecological momentary assessment,2020.0,1,1,,,,,,"WJ Hulme, GP Martin, M Sperrin…",,,ieeexplore.ieee.org,,"Abstract:
Wearable and mobile technology provides new opportunities to manage health conditions remotely and unobtrusively. For example, healthcare providers can repeatedly sample a person's condition to monitor progression of symptoms and intervene if necessary. There is usually a utility-tolerability trade-off between collecting information at sufficient frequencies and quantities to be useful, and over-burdening the user or the underlying technology, particularly when active input is required from the user. Selecting the next sampling time adaptively using previous responses, so that people are only sampled at high frequency when necessary, can help to manage this trade-off. We present a novel approach to adaptive sampling using clustered continuous-time hidden Markov models. The model predicts, at any given sampling time, the probability of moving to an `alert' state, and the next sample time is scheduled when this probability has exceeded a given threshold. The clusters, each representing a distinct sub-model, allow heterogeneity in states and state transitions. The work is illustrated using longitudinal mental-health symptom data in 49 people collected using ClinTouch, a mobile app designed to monitor people with a diagnosis of schizophrenia. Using these data, we show how the adaptive sampling scheme behaves under different model parameters and risk thresholds, and how the average sampling can be substantially reduced whilst maintaining a high sampling frequency during high-risk periods.","",,"",,
rayyan-28721431,Efficacy of a just-in-time adaptive intervention to promote HIV risk reduction behaviors among young adults experiencing homelessness: pilot randomized …,2021.0,1,1,,,,,,"D Santa Maria, N Padhye, M Businelle, Y Yang…",,,jmir.org,,"Abstract

Background:
People experiencing homelessness have higher rates of HIV than those who are stably housed. Mental health needs, substance use problems, and issues unique to homelessness such as lack of shelter and transiency need to be considered with regard to HIV prevention. To date, HIV prevention interventions for young adults experiencing homelessness have not specifically addressed modifiable real-time factors such as stress, sexual or drug use urge, or substance use, or been delivered at the time of heightened risk. Real-time, personalized HIV prevention messages may reduce HIV risk behaviors.


Objective:
This pilot study tested the initial efficacy of an innovative, smartphone-based, just-in-time adaptive intervention that assessed predictors of HIV risk behaviors in real time and automatically provided behavioral feedback and goal attainment information.


Methods:
A randomized attention control design was used among young adults experiencing homelessness, aged 18-25 years, recruited from shelters and drop-in centers in May 2019. Participants were randomized to either a control or an intervention group. The intervention (called MY-RID [Motivating Youth to Reduce Infection and Disconnection]) consisted of brief messages delivered via smartphone over 6 weeks in response to preidentified predictors that were assessed using ecological momentary assessments. Bayesian hierarchical regression models were used to assess intervention effects on sexual activity, drug use, alcohol use, and their corresponding urges.


Results:
Participants (N=97) were predominantly youth (mean age 21.2, SD 2.1 years) who identified as heterosexual (n=51, 52%), male (n=56, 57%), and African American (n=56, 57%). Reports of sexual activity, drug use, alcohol use, stress, and all urges (ie, sexual, drug, alcohol) reduced over time in both groups. Daily drug use reduced by a factor of 13.8 times over 6 weeks in the intervention group relative to the control group (Multimedia Appendix 4). Lower urges for sex were found in the intervention group relative to the control group over the duration of the study. Finally, there was a statistically significant reduction in reports of feeling stressed the day before between the intervention and control conditions (P=.03).


Conclusions:
Findings indicate promising intervention effects on drug use, stress, and urges for sex in a hard-to-reach, high-risk population. The MY-RID intervention should be further tested in a larger randomized controlled trial to further investigate its efficacy and impact on sexual risk behaviors.


Trial Registration:
ClinicalTrials.gov NCT03911024; https://clinicaltrials.gov/ct2/show/NCT03911024


J Med Internet Res 2021;23(7):e26704

doi:10.2196/26704


Keywords
youth (313); homelessness (29); HIV (491); prevention (412); just-in-time adaptive interventions (6); mHealth (2929); ecological momentary assessments (9); drug use (16); stress (297); intervention (560); smartphone (786); mobile phone (2900); drug (64); efficacy (88); pilot (51); feasibility (338); predictor (13); risk (234); behavior (237) ","",,"",,
rayyan-28721432,Preliminary outcomes of an ecological momentary intervention for social functioning in schizophrenia: pre-post study of the motivation and skills support app,2021.0,1,1,,,,,,"D Fulford, DE Gard, KT Mueser, J Mote, K Gill…",,,mental.jmir.org,,"Abstract

Background:
People with schizophrenia and other serious mental illnesses often lack access to evidence-based interventions, particularly interventions that target meaningful recovery outcomes such as social functioning and quality of life. Mobile technologies, including smartphone apps, have the potential to provide scalable support that places elements of evidence-based interventions at the palm of patients’ hands.


Objective:
We aim to develop a smartphone app—called Motivation and Skills Support—to provide targeted social goal support (eg, making new friends and improving existing relationships) for people with schizophrenia enrolled in a stand-alone open trial.


Methods:
In this paper, we presented preliminary outcomes of 31 participants who used the Motivation and Skills Support app for 8 weeks, including social functioning pre- to postintervention, and momentary reports of treatment targets (eg, social motivation and appraisals) during the intervention.


Results:
The findings suggest that the intervention improved self-reported social functioning from baseline to treatment termination, particularly in female participants. Gains were not maintained at the 3-month follow-up. Furthermore, increased social functioning was predicted by momentary reports of social appraisals, including perceived social competence and the extent to which social interactions were worth the effort.


Conclusions:
The implications of these findings and future directions for addressing social functioning in schizophrenia using mobile technology have been discussed.


Trial Registration:
ClinicalTrials.gov NCT03404219; https://clinicaltrials.gov/ct2/show/NCT03404219


JMIR Ment Health 2021;8(6):e27475

doi:10.2196/27475


Keywords
schizophrenia (97); psychosis (69); social functioning (6); social skills (12); motivation (142); mHealth (2929); smartphone (786); mobile phone (2900) 
We also recommend
Mobile-Assisted Cognitive Behavioral Therapy for Negative Symptoms: Open Single-Arm Trial With Schizophrenia Patients
Eric Granholm et al., JMIR Mental Health, 2020
Mobile Intervention to Address Cannabis Use Disorder Among Black Adults: Protocol for a Randomized Controlled Trial
Pamella Nizio et al., JMIR Res Protoc, 2024
A Smartphone-Based Intervention as an Adjunct to Standard-of-Care Treatment for Schizophrenia: Randomized Controlled Trial
S Nassir Ghaemi et al., JMIR Formative Research, 2022
Feasibility of PRIME: A Cognitive Neuroscience-Informed Mobile App Intervention to Enhance Motivated Behavior and Improve Quality of Life in Recent Onset Schizophrenia
Danielle Schlosser et al., JMIR Res Protoc, 2016
Smartphone Apps for Schizophrenia: A Systematic Review
Joseph Firth et al., JMIR Mhealth Uhealth, 2015
Digital tools and apps to reduce alcohol use
Sadie Boniface et al., The BMJ, 2023
App based education programme to reduce salt intake (AppSalt) in schoolchildren and their families in China: parallel, cluster randomised controlled trial
Feng J He et al., The BMJ, 2022
Lavender oil preparation Silexan is effective in mild-to-moderate major depression: a randomized, placebo- and reference-controlled trial
Siegfried Kasper et al., European Archives of Psychiatry and Clinical Neuroscience, 2024
Determination of Work Function for p- and n-Type 4H-SiC Single Crystals via Scanning Kelvin Probe Force Microscopy
Hui Li et al., Chinese Physics Letters, 2023
Two-Dimensional Electron Gas with High Mobility Forming at BaO/SrTiO3 Interface
Cheng Cao et al., Chinese Physics Letters, 2022
Powered by
I consent to the use of Google Analytics and related cookies across the TrendMD network (widget, website, blog). For more information, see our Privacy Settings and Terms of Use.
Yes No","",,"",,
rayyan-28721436,Using smartphone-based ecological momentary assessment and personalized feedback for patients with chronic cancer-related fatigue: A proof-of-concept …,2022.0,1,1,,,,,,"TI Bootsma, MPJ Schellekens, RAM Van Woezik…",,,Elsevier,,"Highlights

•

CCRF patients gain insights from using an ecologically momentary assessment app.

•

CCRF patients gain insights from personalized (network) feedback.

•

Personalized feedback facilitates case conceptualization in psycho-oncological care.

Abstract
Introduction

Chronic cancer-related fatigue (CCRF) is a complex multidimensional problem warranting person-centered care. Providing patients and therapists personalized feedback based on network analysis applied to ecological momentary assessment (EMA) data could facilitate case conceptualization in psycho-oncological care. The aim was to explore patients' and therapists' experiences of using an EMA app and personalized feedback based on network theory to aid case conceptualization in psycho-oncological care.

Methods

A n = 5 proof-of-concept study was implemented in routine psycho-oncological care. We purposively selected adult cancer patients suffering from severe CCRF who were on the waitlist for psycho-oncological care. During a 3-week period participants filled out the EMA app Energy InSight (fatigue, mood, activity, responding, and context) five times a day. Participants received a descriptive and network feedback report, which they reflected upon during the first therapy sessions. Thematic analysis was used to analyze user experiences.

Results

Patients experienced that filling out the Energy InSight app, as well as receiving descriptive and network-based personalized feedback provided them with insight into their CCRF. Although therapists experienced the discussion of network feedback as challenging, it facilitated the case conceptualization.

Discussion

Using EMA during waitlist for psychological care seemed feasible. Patients experienced beneficial effects from filling out the EMA app and talking over the personalized feedback reports, which in turn aided case conceptualization and personalized care. Based on this evaluation, an improved version of the Energy InSight app and a therapist training for providing network feedback is developed for implementation in psycho-oncological care.","",,"",,
rayyan-28721447,A pilot implementation-effectiveness trial of a single-session telehealth workshop and smartphone-based cognitive behavioral intervention for managing emotions …,2022.0,1,1,,,,,,"EM Kleiman, KH Bentley, A Wacha-Montes, ME Taylor…",,,Elsevier,,"Highlights

•

We conducted a single-session telehealth + mobile app intervention.

•

Participants preferred two reminder prompts per day to practice skills.

•

Compliance dropped notably after days 15 and 41.

•

75% of the sample saw a significant reduction in negative affect when using the exercises.

Abstract

The number of college students who need mental health treatment outpaces the resources available to counseling centers to provide these needed services, presenting a need for low-cost, scalable interventions for college populations. We conducted a pilot implementation-effectiveness trial of a scalable treatment package that consisted of a single (telehealth) workshop plus a companion app that provided ecological momentary intervention. Participants (n = 177) received a workshop provided by counseling center staff and trainees. We were interested in (1) engagement with the app, (2) acceptability of the treatment package, and (3) initial effectiveness of the treatment package. Regarding engagement with the app, we found that participants preferred two reminder prompts per day and identified two key breakpoints when engagement declined significantly: at day 15, when just over half of the sample practiced a skill on the app at least once during the day and at day 41, when just over one third of people practiced a skill on the app each day. Regarding acceptability of the treatment package, students generally reported positive attitudes about the single-session workshop and app, but also noted that the content and assessments in the app needed to be more dynamic to improve how engaging it is. Regarding effectiveness, we found that about 75% of the sample experienced a significant reduction in negative affect from pre- to post-ecological momentary intervention. Moreover, there were significant pre- to post-study decreases in experiential avoidance and symptoms of anxiety and depression and increases in self-efficacy for managing negative emotions. The results of this study are promising in terms of providing initial support for this novel treatment package and provide useful information for researchers planning to develop and test similar interventions.","",,"",,
