Zeitstempel,What is the app called?,What year was this paper published?,Is the software a generic tool or a domain specific app?,Which OSs does the application support?,Which devices does the application support?,Is the code available somewhere publicly?,What data collection techniques are employed in-app?,What EMA sampling strategy is being employed?,Which notifications does the software use?,What domain is the intervention being done for?,What static intervention content is being delivered to the user?,What dynamic intervention content is being delivered to the user?,What JITAI components are being used in the interventions?,Which AI technologies are being used?,What is the title of this paper?,Did the intervention according to the authors have benefits that are statistically relevant?,How does the publication explain the code or system?,Notes
12.07.2024 19:25:54,"Positively Healthy, LifeExp",2022,specific app,,Smartphone,private,questionnaire,,,"stress levels, general mental health, sexual health and urology","educational material, motivational messages, message=generic images to go alongside quotes and quotes for acts of kindness and personal strength etc.",personalized messages/feedback,triggers,,"A Proof of Concept Pilot Examining Feasibility and Acceptability of the Positively Healthy Just‑in‑Time Adaptive, Ecological Momentary, Intervention Among a Sample of Sexual Minority Men Living with HIV",yes,"screenshots, diagrams",LifeExp an app from LifeData was used to perform EMA and deliver EMIs
13.07.2024 18:07:26,PAUL,2021,specific app,Android,Smartphone,private,"other sensing, locational sensing, PA or accelerometer sensing",continuous,in-app notifications,physical activity,reminders,context-aware prompts/notifications,triggers,"predict potential triggers, predict=reinforcement learning for trigger time detection",Reinforcement Learning to Send Reminders at Right Moments in Smartphone Exercise Application: A Feasibility Study,,"diagrams, external links or papers","actual JITAI with passive EMA, also collects data if the timing of the intervention was appropriate or not to further train the model"
13.07.2024 18:14:46,QuitGuide,2021,specific app,,Smartphone,private,questionnaire,event-contingent,,"addiction cessation, smoking",,,,"predict potential triggers, predict=statistical models were used to determine indicators to detect relapses from collected data to use in future JITAI apps",Predicting the first smoking lapse during a quit attempt: A machine learning approach,,external links or papers,"EMA study to inform future JITAI development by analysing data => no JITAI features used in this paper, QuitGuide is the app and Smart-T2 is the intervention"
13.07.2024 18:22:45,mEMA,2021,generic tool/framework,"cross-platform, Android, iOS","Smartphone, Smartwatch",private,"questionnaire, other sensing, smartwatch sensing","event-contingent, signal-contingent, continuous",in-app notifications,"no specific domain, mood tracking, addiction cessation, alcohol",,personalized messages/feedback,,,"Project CHOICE: Choosing healthy options in coping with emotions, an EMA/EMI plus in-person intervention for alcohol use",yes,external links or papers,"this is a specific study using an app that is a generic EMA/I app, allows to connect to wearable devices for data collection in EMA, for domain: the app is domain-inspecific but the use of the app in this paper is helping alcohol abusers"
13.07.2024 18:32:06,,2022,specific app,"cross-platform, iOS, Android",Smartphone,,questionnaire,"event-contingent, signal-contingent",in-app notifications,closeness in couple relationships,"exercises, exercise=task to perform throughout the day",,,,Eliciting Short-Term Closeness in Couple Relationships With Ecological Momentary Interventions,yes,screenshots,"interventions were delivered sometime during the day and were just tasks to do with a partner or friend => not really EMI but calls itself so, they also use time-contingent sampling but with reminders via notifications so it's just signal-contingent"
13.07.2024 18:44:42,selfBACK,2022,,"cross-platform, Android, iOS",Smartphone,"private, downloadable binaries","questionnaire, other sensing, PA or accelerometer sensing","event-contingent, signal-contingent",in-app notifications,"orthopedic applications, lower back pain","educational material, exercises",personalized messages/feedback,,,Using Intervention Mapping to Develop a Decision Support System–Based Smartphone App (selfBACK) to Support Self-management of Nonspecific Low Back Pain: Development and Usability Study,,"screenshots, diagrams, external links or papers","decision support system, written in React Native, somehow gets step count information but no information given on sensor usage in EMA"
13.07.2024 18:50:40,MetricWire,2022,generic tool/framework,"cross-platform, Android, iOS",Smartphone,"private, downloadable binaries","questionnaire, other sensing",signal-contingent,in-app notifications,"no specific domain, general mental health",exercises,,,,A pilot implementation-effectiveness trial of a single-session telehealth workshop and smartphone-based cognitive behavioral intervention for managing emotions among college students,yes,external links or papers,"names COVID as one reason for development, domain: MetricWire is a general EMA/I app but this study is about a specific topic"
14.07.2024 15:38:44,Smart-T,2018,specific app,Android,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, smoking",educational material,personalized messages/feedback,triggers,,"AN ECOLOGICAL MOMENTARY INTERVENTION FOR SMOKING CESSATION: THE ASSOCIATIONS OF JUST-IN-TIME, TAILORED MESSAGES WITH LAPSE RISK FACTORS",yes,diagrams,uses Smart-T app but doesn't describe it
14.07.2024 15:46:07,My Experience,2016,specific app,Android,Smartphone,open-source,questionnaire,signal-contingent,in-app notifications,"mood tracking, general mental health, sleep patterns and problems, bipolar disorder",educational material,personalized messages/feedback,,,"An Open Trial of a Smartphone-Assisted, Adjunctive Intervention to Improve Treatment Adherence in Bipolar Disorder",yes,,"bipolar intervention but has features of other domains, uses a named app but doesn't link to it, MyT is the intervention My Experience is the app"
14.07.2024 15:52:22,AWARE,2017,generic tool/framework,"cross-platform, iOS, Android",Smartphone,open-source,"questionnaire, other sensing, locational sensing, PA or accelerometer sensing, app or device usage sensing",continuous,,"no specific domain, addiction cessation, AWARE is non-specific, the data is from a study about alcohol abuse",,,triggers,,Mobile phone sensors and supervised machine learning to identify alcohol use events in young adults: Implications for just-in-time adaptive interventions,,external links or papers,"AWARE is an open-source data collection and sensing framework that can be used for EMA/I, this paper uses data from an AWARE study to find out possible triggers for JITAIs, this is not an EMI but uses an EMI framework and describes how a JITAI could be built, AWARE has a lot of sensors for active and passive data collection such as phone usage data"
14.07.2024 15:58:14,PACO,2024,specific app,"cross-platform, Android, iOS",Smartphone,open-source,questionnaire,signal-contingent,in-app notifications,"mood tracking, general mental health, mindfulness","exercises, watching video, video=guidance for mindfulness techniques",,,,Treatment condition as a moderator and change in trait mindfulness as a mediator of a brief mindfulness ecological momentary intervention for generalized anxiety disorder,yes,external links or papers,study uses Google PACO app
14.07.2024 16:04:53,HEAR-aware,2023,,,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,tinnitus or hearing loss,"educational material, listening to audio, material=audio snippets",personalized messages/feedback,,,Feasibility of the HEAR-aware App for Hearing Loss Self-Management: A Nonrandomized Intervention Study to Examine Intervention Acceptability and the Stagesof- Change Concept,yes,,
14.07.2024 16:11:29,Qualtrics,2024,specific app,"cross-platform, Android, iOS",Smartphone,"private, downloadable binaries",questionnaire,signal-contingent,in-app notifications,"mood tracking, general mental health, mindfulness","educational material, exercises, exercise=tasks to exercise mindfulness",,,,"Examining the Effects of a Brief, Fully Self-Guided Mindfulness Ecological Momentary Intervention on Empathy and Theory-of-Mind for Generalized Anxiety Disorder: Randomized Controlled Trial",yes,,a very static EMI that I would not have called EMI in GitHub analysis => describe that EMI means EMI and what calls themselves EMI
14.07.2024 16:19:50,ACHESS,2015,specific app,unknown,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, drug usage during recovery","educational material, links and apps, support calls, support=option for in-person meetings, motivational messages, links and apps",,,,A Pilot Study to Examine the Feasibility and Potential Effectiveness of Using Smartphones to Provide Recovery Support for Adolescents,yes,,"""potential for helping others"" counts as relevant benefits, says it uses ACHESS but doesn't give any specifics about used hardware or other interventions, isn't really EMI but hey"
14.07.2024 17:34:18,iREST,2018,specific app,"cross-platform, Android, iOS","Smartphone, Smartwatch",private,"diary, questionnaire, other sensing, smartwatch sensing","event-contingent, signal-contingent, continuous",in-app notifications,"general mental health, sleep patterns and problems",educational material,personalized messages/feedback,adaptible intervention content,,Clinical Feasibility of a Just-in-Time Adaptive Intervention App (iREST) as a Behavioral Sleep Treatment in a Military Population: Feasibility Comparative Effectiveness Study,yes,external links or papers,"app recommends goals based on provided answers and also gives instructions on how to achieve them via techniques, uses smartwatch for sensing for EMA alongside sleep diary and weekly questionnaire, for military"
14.07.2024 17:41:52,JitaBug,2022,specific app,"cross-platform, Android, iOS","Smartphone, Smartwatch",private,"questionnaire, other sensing, smartwatch sensing","event-contingent, signal-contingent, continuous",in-app notifications,"mood tracking, physical activity, general mental health",reminders,"personalized messages/feedback, context-aware prompts/notifications",triggers,,A Personalized Smartphone-Delivered Just-in-time Adaptive Intervention (JitaBug) to Increase Physical Activity in Older Adults: Mixed Methods Feasibility Study,yes,"screenshots, diagrams",
14.07.2024 17:51:58,Smart-T,2016,specific app,Android,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, smoking",educational material,personalized messages/feedback,triggers,,An Ecological Momentary Intervention for Smoking Cessation: Evaluation of Feasibility and Effectiveness,yes,"screenshots, external links or papers",
14.07.2024 17:57:36,BeMe,2023,specific app,"cross-platform, iOS, Android",Smartphone,"private, downloadable binaries",questionnaire,event-contingent,,"mood tracking, general mental health","educational material, exercises",coaching,,,Acceptability and Utility of a Smartphone App to Support Adolescent Mental Health (BeMe): Program Evaluation Study,yes,external links or papers,
14.07.2024 18:04:44,not named,2017,specific app,,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, alcohol",educational material,personalized messages/feedback,adaptible intervention content,,"Smartphone-Based, Momentary Intervention for Alcohol Cravings Amongst Individuals With an Alcohol Use Disorder",,,part of a bigger study and only goes into if EMI is usable for such an intervention and how it can predict cravings and lapses
15.07.2024 12:22:48,iREST,2018,specific app,"cross-platform, iOS, Android","Smartphone, Smartwatch",private,"diary, questionnaire, other sensing, smartwatch sensing","event-contingent, signal-contingent, continuous",in-app notifications,sleep patterns and problems,educational material,personalized messages/feedback,adaptible intervention content,,Development of a Just-in-Time Adaptive mHealth Intervention for Insomnia: Usability Study,yes,"screenshots, diagrams","clinicians can adjust interventions given to the users in a clinician's portal, fitbit sensing in EMA and diary is a log"
15.07.2024 12:32:34,BPTrack,2020,specific app,"cross-platform, Android, iOS","Smartphone, External Specialized Sensors","private, downloadable binaries","other sensing, external hardware sensing",event-contingent,in-app notifications,"cardio-vascular problems, hypertension, blood pressure","educational material, reminders","context-aware prompts/notifications",,,"Understanding the Feasibility, Acceptability, and Efficacy of a Clinical Pharmacist-led Mobile Approach (BPTrack) to Hypertension Management: Mixed Methods Pilot Study",yes,external links or papers,"more of an EMA app that allows the clinician to see all data in real-time, intervention is simple educational content"
15.07.2024 12:41:57,emma,2022,specific app,"cross-platform, Android, iOS",Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, general mental health, social interactions, depression or suicide","educational material, material=such as safety plans or exercises",personalized messages/feedback,"triggers, adaptible intervention content",,"Acceptability and satisfaction with emma, a smartphone application dedicated to suicide ecological assessment and prevention",,screenshots,"EMIs are modules that can be personalized and are delivered depending on how severe the system judges the users data => Call Module prompting users to call their family or friends for ""light"" symptoms of suicide vs prompting users to call a suicide prevention hotline for ""heavy"" symptoms"
15.07.2024 12:50:06,CareQOL,2023,specific app,"cross-platform, iOS, Android","Smartphone, Smartwatch","private, downloadable binaries","questionnaire, other sensing, smartwatch sensing","event-contingent, signal-contingent, continuous",in-app notifications,"stress levels, general mental health, anxiety",,personalized messages/feedback,,,The Dosing of Mobile-Based Just-in-Time Adaptive Self-Management Prompts for Caregivers: Preliminary Findings From a Pilot Microrandomized Study,yes,external links or papers,paper goes into detail how often one should use push notifications in future JITAIs
15.07.2024 12:55:36,"PACO, SkillJoy",2022,specific app,"cross-platform, Android, iOS",Smartphone,private,questionnaire,signal-contingent,in-app notifications,"general mental health, anxiety","reminders, exercises",,,,Reducing contrast avoidance in GAD by savoring positive emotions: Outcome and mediation in a randomized controlled trial,yes,external links or papers,SkillJoy intervention uses the PACO app
15.07.2024 13:03:49,"GamblingLess: In-The-Moment, Gambling Habit Hacker",2023,,,,"private, downloadable binaries",questionnaire,signal-contingent,in-app notifications,"addiction cessation, gambling",educational material,personalized messages/feedback,,,Applying the Just-In-Time Adaptive Intervention Framework to the Development of Gambling Interventions,,screenshots,two different JITAI apps according to the authors
15.07.2024 13:20:51,mCerebrum,2021,,Android,"Smartphone, External Wearable Sensors",open-source,"questionnaire, other sensing","signal-contingent, continuous","in-app notifications, device notifications","physical activity, stress levels, addiction cessation, smoking","links and apps, link=3 other apps to launch for intervention",context-aware prompts/notifications,triggers,,Sense2Stop: A micro-randomized trial using wearable sensors to optimize a just-in-time-adaptive stress management intervention for smoking relapse prevention,,"diagrams, external links or papers",Sense2Stop intervention using mCerebrum app
15.07.2024 13:25:40,movisensXS,2019,generic tool/framework,"cross-platform, Android, iOS",Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"general mental health, hearing voices","support calls, support=face-to-face meetings","personalized messages/feedback, desc=after face-to-face meetings prompts for users were created that were introduced later on as EMI prompts to do exercises",,,Client experiences of blending a coping-focused therapy for auditory verbal hallucinations with smartphone-based ecological momentary assessment and intervention,yes,external links or papers,movisensXS is an ESM app for Android and iOS
15.07.2024 13:34:12,"m-path, Qualtrics",2024,specific app,"cross-platform, Android, iOS",Smartphone,"private, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, goal setting and motivation",,personalized messages/feedback,triggers,,An Ecological Mobile Momentary Intervention to Support Dynamic Goal Pursuit: Feasibility and Acceptability Study,,external links or papers,Questionnaires and strategy training were delivered via Qualtrics and EMA/EMI using the m-path platform
15.07.2024 13:39:28,not named,2022,specific app,unknown,Smartphone,private,questionnaire,signal-contingent,,"mood tracking, general mental health, psychosis","exercises, exercise=ACT sessions",,,,Efficacy of Acceptance and Commitment Therapy in Daily Life in Early Psychosis: Results from the Multi-Center INTERACT Randomized Controlled Trial,no,,"Evaluated if EMI treatment + face-to-face therapy had better effects than face-to-face therapy only, data was only collected after each ACT session"
15.07.2024 13:52:38,myDataHelps,2024,specific app,"cross-platform, iOS, Android","Smartphone, Smartwatch","private, downloadable binaries","questionnaire, other sensing, smartwatch sensing, external hardware sensing","event-contingent, signal-contingent, continuous",in-app notifications,"cardio-vascular problems, hypertension",educational material,"personalized messages/feedback, context-aware prompts/notifications, exercises",triggers,,A Physical Activity and Diet Just-in-Time Adaptive Intervention to Reduce Blood Pressure: The myBPmyLife Study Rationale and Design,,screenshots,"contextual data used to prompt user to do more PA, questionnaire answers about sodium intake and times are used to prompt user to take alternatives instead, bp monitors in EMA"
15.07.2024 16:01:36,"MyTrack+, FatSecret",2024,specific app,"cross-platform, iOS, Android",Smartphone,private,"questionnaire, other sensing, external hardware sensing","event-contingent, signal-contingent",in-app notifications,"dietary habits","support calls, support=support screen for real-person contact",personalized messages/feedback,,,MyTrack+: Human-centered design of an mHealth app to support long-term weight loss maintenance,yes,diagrams,"MyTrack+ is the app, it uses FatSecret for data collection (partially), uses Smart Scale in EMA"
15.07.2024 16:05:46,not named,2017,specific app,unknown,Smartphone,private,questionnaire,,,"mood tracking, general mental health, dietary habits, fruit and vegetable consumption","educational material, reminders",,,,Let them eat fruit! The effect of fruit and vegetable consumption on psychological well-being in young adults: A randomized controlled trial,yes,,EXLCUDE <- intervention messages via app
15.07.2024 16:11:39,MOSS,2016,specific app,Android,Smartphone,private,"other sensing, app or device usage sensing",continuous,in-app notifications,"mood tracking, general mental health, depression or suicide",,context-aware prompts/notifications,triggers,recommendations for intervention content,Mobile Sensing and Support for People With Depression:A Pilot Trial in the Wild,yes,"screenshots, diagrams","JITAI for depressive phase classification based on sensor data, senses WiFi and app usage"
15.07.2024 16:16:32,MedFit,2018,specific app,,"Smartphone, Smartwatch",private,"questionnaire, other sensing, smartwatch sensing, PA or accelerometer sensing","event-contingent, continuous",,cardio-vascular problems,"educational material, exercises",personalized messages/feedback,,,"MedFit App, a Behavior-Changing, Theoretically Informed Mobile App for Patient Self-Management of Cardiovascular Disease: User-Centered Development",,,"creation of the MedFit app without aspects about its real benefits expect hopes, uses Fitbit for sensing of BP and PA"
15.07.2024 18:54:03,"Smart-T2, QuitGuide",2022,specific app,Android,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"addiction cessation, smoking",educational material,,"triggers, adaptible intervention content",,Quit Stage and Intervention Type Differences in the Momentary Within-Person Association Between Negative Affect and Smoking Urges,,external links or papers,
15.07.2024 18:58:31,PACO,2023,specific app,unknown,Smartphone,,questionnaire,"event-contingent, signal-contingent",in-app notifications,"general mental health, anxiety","educational material, exercises",,,,A randomized controlled trial of a 14-day mindfulness ecological momentary intervention (MEMI) for generalized anxiety disorder,yes,,intervention uses the PACO app
15.07.2024 19:06:32,"Mind the Moment, Empatica",2017,specific app,Android,Smartphone,private,"questionnaire, other sensing, external hardware sensing","event-contingent, signal-contingent","in-app notifications, device notifications","mood tracking, addiction cessation, alcohol",educational material,"personalized messages/feedback, context-aware prompts/notifications",triggers,,Mobile Health Technology Using a Wearable Sensorband for Female College Students With Problem Drinking:An Acceptability and Feasibility Study,,"screenshots, diagrams","Empatica app is open-source, MtM app is built on top of that, in EMA Empatica E4 wearable sensorband is used for sensing"
15.07.2024 19:10:45,MindDoc,2023,specific app,"cross-platform, iOS, Android",Smartphone,"private,downloadable binaries, commercial software",questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, general mental health","educational material, exercises",personalized messages/feedback,,,Effects of a Self-Guided Transdiagnostic Smartphone App on Patient Empowerment and Mental Health: Randomized Controlled Trial,yes,external links or papers,paid and freemium app versions available
15.07.2024 19:16:41,"MY-RID, INSIGHT mHealth platform",2021,,,,"private, downloadable binaries",questionnaire,signal-contingent,in-app notifications,"stress levels, sexual health and urology",,personalized messages/feedback,triggers,,Efficacy of a Just-in-Time Adaptive Intervention to Promote HIV Risk Reduction Behaviors Among Young Adults Experiencing Homelessness: Pilot Randomized Controlled Trial,yes,external links or papers,"INSIGHT is the mHealth platform MY-RID is built upon, INSIGHT is downloadable, domain is: HIV risk prediction for homeless people"
